Estado,Municipio,Colonia,Codigo
CDMX,Álvaro Obregón,San Angel,1000
CDMX,Álvaro Obregón,Los Alpes,1010
CDMX,Álvaro Obregón,Guadalupe Inn,1020
CDMX,Álvaro Obregón,Secretaria de Contraloría y Desarrollo Administrativo,1028
CDMX,Álvaro Obregón,INFONAVIT,1029
CDMX,Álvaro Obregón,Florida,1030
CDMX,Álvaro Obregón,Axotla,1030
CDMX,Álvaro Obregón,Campestre,1040
CDMX,Álvaro Obregón,Las Águilas,1048
CDMX,Álvaro Obregón,Tlacopac,1049
CDMX,Álvaro Obregón,Ex-Hacienda de Guadalupe Chimalistac,1050
CDMX,Álvaro Obregón,Altavista,1060
CDMX,Álvaro Obregón,San Angel Inn,1060
CDMX,Álvaro Obregón,Chimalistac,1070
CDMX,Álvaro Obregón,Progreso Tizapan,1080
CDMX,Álvaro Obregón,Ermita Tizapan,1089
CDMX,Álvaro Obregón,Tizapan,1090
CDMX,Álvaro Obregón,Loreto,1090
CDMX,Álvaro Obregón,La Otra Banda,1090
CDMX,Álvaro Obregón,Lomas de Santo Domingo,1100
CDMX,Álvaro Obregón,Pólvora,1100
CDMX,Álvaro Obregón,La Conchita,1109
CDMX,Álvaro Obregón,Ampliación El Capulin,1110
CDMX,Álvaro Obregón,El Capulín,1110
CDMX,Álvaro Obregón,Liberales de 1857,1110
CDMX,Álvaro Obregón,Belém de las Flores,1110
CDMX,Álvaro Obregón,Secretaria de la Policia Federal Preventiva,1116
CDMX,Álvaro Obregón,Las Américas,1120
CDMX,Álvaro Obregón,Sears Roebuck,1120
CDMX,Álvaro Obregón,Acueducto,1120
CDMX,Álvaro Obregón,Hidalgo,1120
CDMX,Álvaro Obregón,Cove,1120
CDMX,Álvaro Obregón,Ampliación Acueducto,1125
CDMX,Álvaro Obregón,Molino de Santo Domingo,1130
CDMX,Álvaro Obregón,Paraíso,1130
CDMX,Álvaro Obregón,Real del Monte,1130
CDMX,Álvaro Obregón,Molino de Santo Domingo,1130
CDMX,Álvaro Obregón,Reacomodo Pino Suárez,1139
CDMX,Álvaro Obregón,Bellavista,1140
CDMX,Álvaro Obregón,José Maria Pino Suárez,1140
CDMX,Álvaro Obregón,Tolteca,1150
CDMX,Álvaro Obregón,Cristo Rey,1150
CDMX,Álvaro Obregón,Delegación Política Álvaro Obregón,1159
CDMX,Álvaro Obregón,Maria G. de García Ruiz,1160
CDMX,Álvaro Obregón,1a Victoria,1160
CDMX,Álvaro Obregón,Isidro Fabela,1160
CDMX,Álvaro Obregón,Bosque,1160
CDMX,Álvaro Obregón,Santa Fe IMSS,1170
CDMX,Álvaro Obregón,Abraham M. González,1170
CDMX,Álvaro Obregón,Carola,1180
CDMX,Álvaro Obregón,San Pedro de los Pinos,1180
CDMX,Álvaro Obregón,8 de Agosto,1180
CDMX,Álvaro Obregón,Nelli Campo Bello,1184
CDMX,Álvaro Obregón,Arturo Martínez,1200
CDMX,Álvaro Obregón,Belén,1209
CDMX,Álvaro Obregón,Santa Fe,1210
CDMX,Álvaro Obregón,Lomas de Santa Fe,1219
CDMX,Álvaro Obregón,Mártires de Tacubaya,1220
CDMX,Álvaro Obregón,El Cuernito,1220
CDMX,Álvaro Obregón,Zenón Delgado,1220
CDMX,Álvaro Obregón,Bonanza,1220
CDMX,Álvaro Obregón,Cuevitas,1220
CDMX,Álvaro Obregón,La Estrella,1220
CDMX,Álvaro Obregón,Campo de Tiro los Gamitos,1230
CDMX,Álvaro Obregón,Los Gamitos,1230
CDMX,Álvaro Obregón,Tlapechico,1230
CDMX,Álvaro Obregón,El Piru Santa Fe,1230
CDMX,Álvaro Obregón,El Piru 2a Ampliación,1230
CDMX,Álvaro Obregón,La Huerta,1239
CDMX,Álvaro Obregón,Pueblo Nuevo,1240
CDMX,Álvaro Obregón,El Árbol,1250
CDMX,Álvaro Obregón,Ladera,1250
CDMX,Álvaro Obregón,Tecolalco,1250
CDMX,Álvaro Obregón,Lomas de Nuevo México,1250
CDMX,Álvaro Obregón,Margarita Maza de Juárez,1250
CDMX,Álvaro Obregón,Ampliación La Cebada,1259
CDMX,Álvaro Obregón,La Mexicana 2a Ampliación,1259
CDMX,Álvaro Obregón,Liberación Proletaria,1260
CDMX,Álvaro Obregón,Ampliación La Mexicana,1260
CDMX,Álvaro Obregón,La Mexicana,1260
CDMX,Álvaro Obregón,La Palmita,1260
CDMX,Álvaro Obregón,Calzada Jalalpa,1260
CDMX,Álvaro Obregón,1a Sección Cañada,1269
CDMX,Álvaro Obregón,2a Sección Cañada,1269
